   Permno    date           rtn
   14593    20041028       0.037575
   14593    20041029       0.004024
   14593    20041101       0.000954
   14593    20041102       0.020019
   14593    20041103       0.033832
   14593    20041104      -0.015549
   14593    20041105       0.004959
   14593    20041108      -0.006213
   14593    20041109      -0.006068
   14593    20041110       0.012951
   14593    20041111       0.010046
   14593    20041112       0.003617
   14593    20041115      -0.004685
   14593    20041116      -0.005521
   14593    20041117      -0.000637
   14593    20041118       0.008925
   14593    20041119      -0.003972
   14593    20041122       0.112017
   14593    20041123      -0.001304
   14593    20041124       0.045373
   14593    20041126       0.007806
   14593    20041129       0.060263
   14593    20041130      -0.020310
   14593    20041201       0.011037
   14593    20041202      -0.038059
   14593    20041203      -0.038798
   14593    20041206       0.049458
   14593    20041207      -0.043934
   14593    20041208       0.006201
   14593    20041209       0.011220
   14593    20041210       0.018128
   14593    20041213      -0.003684
   14593    20041214       0.005854
   14593    20041215      -0.000459
   14593    20041216       0.020472
   14593    20041217      -0.024116
   14593    20041220      -0.034928
   14593    20041221       0.015466
   14593    20041222       0.000942
   14593    20041223       0.004078
   14593    20041227      -0.013279
   14593    20041228       0.016149
   14593    20041229       0.004051
   14593    20041230       0.005587
   14593    20041231      -0.006173
   14593    20050103      -0.017236
   14593    20050104       0.010270
   14593    20050105       0.008758
   14593    20050106       0.000775
   14593    20050107       0.072812
   14593    20050110      -0.004188
   14593    20050111      -0.063805
   14593    20050112       0.013941
   14593    20050113       0.066300
   14593    20050114       0.005731
   14593    20050118       0.006410
   14593    20050119      -0.010899
   14593    20050120       0.008300
   14593    20050121       0.000426
   14593    20050124       0.003830
   14593    20050125       0.018231
   14593    20050126       0.002776
   14593    20050127       0.005398
   14593    20050128       0.018447
   14593    20050131       0.039470
   14593    20050201       0.008192
   14593    20050202       0.027086
   14593    20050203      -0.022856
   14593    20050204       0.013237
   14593    20050207       0.001268
   14593    20050208       0.024829
   14593    20050209      -0.026700
   14593    20050210      -0.004826
   14593    20050211       0.036371
   14593    20050214       0.042113
   14593    20050215       0.044665
   14593    20050216       0.019455
   14593    20050217      -0.025741
   14593    20050218      -0.011388
   14593    20050222      -0.017509
   14593    20050223       0.034471
   14593    20050224       0.007934
   14593    20050225       0.000675
   14593    20050228       0.008203
   14593    20050301      -0.008025
   14593    20050302      -0.008517
   14593    20050303      -0.052832
   14593    20050304       0.024408
