date       ibm      bnd3a
20010907 -0.014388 0.003245439
20010910 -0.001242 -0.001013069
20010917 -0.032445 -0.005828154
20010918 0.032783 -0.005383868
20010919 -0.004149 0.004975982
20010920 -0.027083 0.005424845
20010921 -0.031049 0.001250317
20010924 0.047514 -0.001115072
20010925 -0.003692 0.001148843
20010926 -0.033351 0.003943316
20010927 -0.014239 0.002251156
20010928 0.019111 0.001743680
20011001 0.010794 0.001171921
20011002 0.011433 0.002206178
20011003 0.033913 0.0003338452
20011004 0.003713 0.0003337338
20011005 0.007296 0.0009671987
20011008 0.004897 0.0005332267
20011009 -0.013807 -0.003404202
20011010 0.001132 0.0004345138
20011011 0.022108 -0.003380813
20011012 0.014487 0.001172863
20011015 0.011503 0.002174532
20011016 -0.001471 0.001569413
20011017 0.010309 0.0009004653
20011018 -0.015938 0.0003666239
20011019 0.013727 -0.002602604
20011022 0.025329 0.0004008418
20011023 0.005321 0.0002337502
20011024 0.026085 0.002933922
20011025 0.01925 0.003821174
20011026 0.004518 0.001226323
20011029 -0.02285 0.002580305
20011030 0.000276 0.002969025
20011031 -0.005338 0.005682487
20011101 0.016841 0.002453507
20011102 -0.003549 -0.005767104
20011105 0.004292 0.003641079
20011106 0.038374 0.002191370
20011107 -0.001752 0.003489722
20011108 -0.000351 -0.004339534
20011109 0.002372 -0.001046915
20011112 0.006837 0.0005235945
20011113 0.016019 -0.002719129
20011114 -0.020137 -0.005790442
20011115 0.003498 -0.01004800
20011116 -0.002179 -0.006319084
20011119 0.004367 0.006618999
20011120 0.003826 -0.004307401
20011121 -0.009529 -0.00362052
20011123 0.008833 -0.002387318
20011126 0.008496 0.0002692787
20011127 -0.01831 0.003024399
20011128 -0.017951 0.004085192
20011129 0.02033 0.009346329
20011130 0.010137 0.000728067
20011203 -0.012631 0.001652729
20011204 0.021992 0.002210383
20011205 0.040809 -0.01083456
20011206 -0.010379 -0.004540909
20011207 0.002164 -0.005335136
20011210 -0.006146 0.002218041
20011211 0.015377 0.002481058
20011212 0.013992 0.004310424
20011213 -0.023945 -0.008774042
20011214 0.007069 -0.001750606
20011217 0.001982 -0.001618669
20011218 0.007088 0.00441145
20011219 0.01383 0.003789725
20011220 -0.009605 -0.0006697027
20011221 -0.005705 -0.0008377595
20011224 -0.004508 -0.001442590
20011226 0.007822 -0.002150972
20011227 0.008987 0.003761170
20011228 -0.004858 0.0005696574
20011231 -0.015785 0.005245673
20020102 0.004464 -0.005781812
20020103 0.017778 0.001272861
20020104 0.015688 0.0001338912
20020107 -0.012341 0.005474162
20020108 0.00524 -0.001032456
20020109 -0.001684 0.001365279
20020110 -0.018877 0.005111535
20020111 -0.014983 0.004920831
20020114 -0.018785 6.5887e-05
20020115 0.006777 0.001448417
20020116 -0.0122 -0.0006581112
20020117 0.021295 -0.004056935
20020118 -0.047123 0.002640527
20020122 -0.032823 -0.0003626593
20020123 -0.023529 -0.00475971
20020124 0.0076 -0.001226648
20020125 0.005151 -0.001128518
20020128 -0.01034 0.0003320494
20020129 -0.047619 0.005132717
20020130 0.024757 -0.001024438
20020131 0.02217 -0.002350255
20020201 0.00102 0.002548615
20020204 -0.011111 0.003926037
20020205 -0.004682 -9.878657e-05
20020206 0.004421 -0.0009224789
20020207 -0.025509 -0.0009233307
20020208 0.010394 0.002207979
20020211 0.022764 -0.0004609661
20020212 -0.007543 -0.002803293
20020213 0.014075 -0.001785006
20020214 -0.001666 0.002181242
20020215 -0.046343 0.003657757
20020219 -0.032559 3.289203e-05
20020220 -0.002311 0.0002959796
20020221 -0.029504 0.0005916965
20020222 0.021477 0.002133772
20020225 -0.001524 -0.0004920049
20020226 -0.011699 -0.00299003
20020227 0.006999 0.004530837
20020228 0.002964 -0.001770492
20020301 0.049939 -0.004407032
20020304 0.027956 -0.000692418
20020305 -0.002172 0.0002308593
20020306 0.005962 -0.0001978761
20020307 -0.024365 -0.00774787
20020308 0.013306 -0.00483133
20020311 0.001427 0.001068234
20020312 0.030977 0.0004669936
20020313 -0.012166 0.002431511
20020314 -0.005411 -0.005705055
20020315 0.001782 0.001471080
20020318 -0.00412 0.002202571
20020319 0.010719 -0.0004001067
20020320 -0.018513 -0.004311288
20020321 0.012133 -0.0002679798
20020322 -0.011051 -0.001039100
20020325 -0.019318 3.353623e-05
20020326 -0.006373 0.003849184
20020327 0.004762 0.0005677549
20020328 0.0059 -0.002842003
20020401 -0.010962 -0.0001004537
20020402 -0.018569 0.005410112
20020403 -0.009807 0.004154555
20020404 0.008803 -3.316805e-05
20020405 -0.035601 0.004170534
20020408 -0.101182 -0.00112367
20020409 0.003775 0.002015097
20020410 0.014475 -0.001122668
20020411 -0.054151 0.0006605456
20020412 0.016748 0.002374358
20020415 -0.002921 0.002072949
20020416 0.009959 -0.003886186
20020417 -0.016125 -0.001816531
20020418 0.048815 0.000826105
20020419 0.000562 0.002111724
20020422 -0.012022 0.001317567
20020423 -0.006824 0.0008554883
20020424 -0.009504 0.003742372
20020425 0.002428 0.0006551148
20020426 -0.023065 0.001766669
20020429 -0.00968 -0.001504743
20020430 -0.00155 9.82045e-05
20020501 0.006447 0.001962067
20020502 -0.005219 -0.001503907
20020503 -0.024803 0.003299093
20020506 -0.070677 -0.0002935373
20020507 0.006579 0.0009781227
20020508 0.079739 -0.006932663
20020509 -0.030564 0.002850825
20020510 -0.003128 0.003005851
20020513 0.031501 -0.003922471
20020514 0.040029 -0.003707779
20020515 -0.011465 0.001740759
20020516 0.011243 0.004551043
20020517 0.002809 -0.003075415
20020520 -0.014471 0.003532648
20020521 -0.011841 0.002739013
20020522 0.006591 0.002471707
20020523 0.004167 -0.001690508
20020524 -0.014819 0
20020528 -0.012274 0.0008131007
20020529 -0.005848 0.001851401
20020530 0.007966 3.245015e-05
20020531 -0.021885 -0.0003894713
20020603 -0.029086 0.001719022
20020604 0.015363 0.001424871
20020605 0.015635 -0.001230451
20020606 -0.011049 0.002200791
20020607 -0.017073 -0.002233191
20020610 -0.019157 0.00142464
20020611 -0.017057 0.003294789
20020612 -0.011127 0.002287041
20020613 0.012726 0.002121301
20020614 0.00754 0.005730675
20020617 0.012735 -0.002685166
20020618 -0.015556 0.0007679263
20020619 -0.034106 0.00618585
20020620 -0.024131 -0.004939226
20020621 -0.039536 0.003571432
20020624 0.013818 -0.003475603
20020625 -0.015782 0.0001596959
20020626 0.021137 0.005319246
20020627 0.02641 -0.005702559
20020628 0.001391 -0.002078837
20020701 -0.061111 0.001503591
20020702 0.014497 0.003446519
20020703 0.028142 -0.004758036
20020705 0.042405 -0.00539206
20020708 -0.029932 0.002250226
20020709 -0.022861 0.005092492
20020710 -0.013062 0.005479815
20020711 0.009453 0.0001588487
20020712 -0.002881 0.001777383
20020715 0.025863 -0.001142241
20020716 -0.028028 -0.004932938
20020717 0.024344 0.0008929141
20020718 0.019239 0.004484384
20020719 -0.000694 0.002503765
20020722 -0.048611 0.005272226
20020723 -0.021168 0.002138836
20020724 0.037136 -0.006335419
20020725 -0.002732 0.001295562
20020726 -0.042538 0.001041552
20020729 0.071988 -0.008108495
20020730 0.00857 -0.002037439
20020731 -0.019362 0.007018018
20020801 -0.03054 0.002717736
20020802 -0.005421 0.01120346
20020805 -0.027843 0.002493456
20020806 0.028944 -0.006809334
20020807 0.020913 0.004378291
20020808 0.035275 -0.004002257
20020809 0.003072 0.007397846
20020812 -0.000835 0.002422813
20020813 0.001811 0.005260239
20020814 0.042003 0.002804446
20020815 0.021089 -0.005864395
20020816 0.037255 -0.006272728
20020819 0.039572 0.001369693
20020820 -0.01479 0.007438205
20020821 -0.003322 -0.0005559502
20020822 0.012222 -0.00504856
20020823 -0.019393 0.003873872
20020826 -0.012189 0.001823267
20020827 -0.018383 -0.003804815
20020828 -0.024371 0.003619549
20020829 0.007363 0.003083282
20020830 -0.016184 0.001599557
20020903 -0.040196 0.009178587
20020904 0.019074 0.001643236
20020905 -0.021023 0.002308137
20020906 0.014131 -0.008346582
20020909 0.01776 3.058899e-05
20020910 0.014765 0.002383063
20020911 -0.018519 -0.004587866
20020912 -0.031402 0.005685828
20020913 0.008766 0.003529702
20020916 -0.002483 0.001911785
20020917 -0.007882 6.063178e-05
20020918 -0.030662 0.0009090359
20020919 -0.068296 0.003537365
20020920 -0.01358 -0.0004528097
20020923 -0.008604 0.004759332
20020924 -0.057125 0.000330504
20020925 0.054561 -0.00593563
20020926 -0.015712 -0.0004231653
20020927 -0.026766 0.000604467
20020930 -0.033963 0.004642198
20021001 0.049048 -0.005125742
20021002 -0.025176 0.0001511327
20021003 0.006205 3.022381e-05
20021004 -0.056667 -0.0006046498
20021007 0.004594 0.002567240
20021008 0.003342 -0.001297898
20021009 -0.034706 0.003708118
20021010 0.045578 -0.01007100
20021011 0.110108 -0.003593183
20021014 -0.007822 0.0004879685
20021015 0.079786 -0.01085234
20021016 -0.052278 -0.001388011
20021017 0.112481 -0.004795727
20021018 0.028393 -0.0001240656
20021021 0.017508 -0.003106654
20021022 -0.014031 -0.001183064
20021023 0.001477 0.0002803258
20021024 -0.033512 0.006920872
20021025 0.034119 0.002779667
20021028 0.026824 0.004584976
20021029 0.002351 0.007676466
20021030 0.02515 -0.0002742356
20021031 0.003432 0.004712472
20021101 0.018495 -0.003068186
20021104 0.026119 -0.002680967
20021105 -0.009939 -0.001526485
20021106 0.000122 0.002745997
20021107 -0.031764 0.008918068
20021108 -0.017226 0.002985212
20021111 -0.003866 0.0004816231
20021112 0.024065 0.003814678
20021113 0.002527 0.001018788
20021114 0.017265 -0.009327584
20021115 -0.008796 0.001721613
20021118 -0.010374 0.001839150
20021119 -0.01023 0.002316731
20021120 0.041342 -0.005031419
20021121 0.040314 -0.003479527
20021122 -0.005536 -0.001182768
20021125 0.020964 0.0003640777
20021126 -0.013225 0.005837446
20021127 0.031037 -0.008480017
20021129 -0.008894 0.001398092
20021202 0.004372 -9.112032e-05
20021203 -0.02394 -0.0003341789
20021204 -0.017838 0.001487757
20021205 -0.007528 0.004027075
20021206 -0.008909 0.001479581
20021209 -0.033163 0.002651722
20021210 0.015203 0.0008121889
20021211 0.007921 0.003362054
20021212 -0.015594 -0.0002997243
20021213 -0.00212 -0.003122469
20021216 0.02025 -0.002860801
20021217 -0.01605 0.00078377
20021218 -0.014693 0.004419797
20021219 -0.00594 0.005415365
20021220 0.014366 0.0002685084
20021223 0.00589 -0.0001193282
20021224 -0.00623 0.002235037
20021226 -0.015797 0.001279172
20021227 -0.014522 0.005366554
20021230 -0.014349 0.001625032
20021231 0.016393 -0.0008269589
20030102 0.039613 -0.01117164
20030103 0.013405 0.0001792543
20030106 0.02376 -0.0005079707
20030107 0.028831 0.003758842
20030108 -0.021046 0.003151294
20030109 0.033377 -0.009363979
20030110 0.007816 0.0008385745
20030113 -0.001939 0.002899636
20030114 0.012227 0.002682885
20030115 -0.011176 0.000862954
20030116 -0.017582 0.000475794
20030117 -0.0552 0.002998236
20030121 -0.009348 -0.0006226558
20030122 -0.01043 0.002902416
20030123 0.016939 -0.001390924
20030124 -0.025416 0.003370391
20030127 -0.007216 -0.003311163
20030128 0.021551 -0.0005924346
20030129 0.002621 -0.002789154
20030130 -0.025149 0.003796084
20030131 -0.001277 0.000562255
20030203 -0.000256 0.0009462417
20030204 -0.013942 0.003923251
20030205 0.002205 -0.003775482
20030206 0.005177 0.005569732
20030207 -0.00529 0.0009105997
20030210 0.010506 -0.003087647
20030211 -0.006674 0.0009714312
20030212 -0.0115 0.001029276
20030213 -0.008366 0.002524587
20030214 0.02096 -0.004319153
20030218 0.024274 0.001529997
20030219 0.002269 0.003463258
20030220 -0.005911 0.001873372
20030221 0.011513 -0.002225021
20030224 -0.017386 0.002838957
20030225 0.006492 0.002335358
20030226 -0.021121 0.002359007
20030227 -0.00155 0.001046664
20030228 0.00867 0.003625767
20030303 -0.007954 0.001591182
20030304 -0.008147 0.001242254
20030305 0.013429 0.001269548
20030306 -0.008491 -0.0008654263
20030307 0.010769 0.002075766
20030310 -0.028241 0.001352693
20030311 -0.004623 -0.001035942
20030312 -0.002256 -8.637692e-05
20030313 0.043496 -0.007920719
20030314 0.007011 0.002319111
20030317 0.043797 -0.004876359
20030318 0.000121 -0.004666364
